"","new_subject","task","car","mean_off_duration","sum_long_off_glance","total_off_time","frequency_off_glance","task_time","percentage_long_off_glance","frequency_off_glance_per_minute"
"1633",6015,"radiom_6","Corolla",0.814,0,4.07,5,10.5,0,28.5714285714286
"1634",6018,"nav_cancel_1","Corolla",0.64,0,2.56,4,18.5,0,12.972972972973
"1635",6018,"nav_cancel_2","Corolla",0.704117647058824,0,11.97,17,62.29,0,16.3750200674266
"1636",6018,"nav_entry_1","Corolla",0.748333333333333,0,4.49,6,50.7,0,7.10059171597633
"1637",6018,"nav_entry_2","Corolla",1.10714285714286,0,7.75,7,65.1,0,6.45161290322581
"1638",6018,"radiom_4","Corolla",0.874,0,13.11,15,24.5,0,36.734693877551
"1639",6018,"radiom_6","Corolla",1.16192307692308,1,30.21,26,52.7,3.84615384615385,29.6015180265655
"1640",6019,"nav_cancel_2","Corolla",0.433333333333333,0,1.3,3,15.1,0,11.9205298013245
"1641",6019,"nav_entry_1","Corolla",0.751,0,7.51,10,46.7,0,12.847965738758
"1642",6019,"nav_entry_2","Corolla",0.680909090909091,0,7.49,11,55.7,0,11.8491921005386
"1643",6019,"radiom_4","Corolla",0.756363636363636,0,8.32,11,19.9,0,33.1658291457286
"1644",6019,"radiom_6","Corolla",1.08416666666667,0,6.505,6,12.1,0,29.7520661157025
"1645",6021,"nav_cancel_1","Corolla",0.77,0,0.77,1,15.7,0,3.82165605095541
"1646",6021,"nav_cancel_2","Corolla",0.7,0,0.7,1,13.1,0,4.58015267175573
"1647",6021,"nav_entry_1","Corolla",0.32,0,0.64,2,44.5,0,2.69662921348315
"1648",6021,"nav_entry_2","Corolla",1.00697674418605,0,43.3,43,151.3,0,17.0522141440846
"1649",6021,"radiom_4","Corolla",1.30714285714286,0,9.15,7,13.3,0,31.5789473684211
"1650",6021,"radiom_6","Corolla",1.1,0,9.9,9,13.1,0,41.2213740458015
"1651",6022,"nav_cancel_1","Corolla",0.41,0,1.23,3,17.3,0,10.4046242774566
"1652",6022,"nav_cancel_2","Corolla",0.658,0,3.29,5,17.3,0,17.3410404624277
"1653",6022,"nav_entry_1","Corolla",1.012,0,5.06,5,51.7,0,5.8027079303675
"1654",6022,"nav_entry_2","Corolla",1.10230769230769,0,14.33,13,65.9,0,11.8361153262519
"1655",6022,"radiom_4","Corolla",1.127,0,11.27,10,16.3,0,36.8098159509202
"1656",6022,"radiom_6","Corolla",0.84125,0,6.73,8,11.7,0,41.025641025641
"1657",6024,"nav_cancel_1","Corolla",0.43,0,0.43,1,13.9,0,4.31654676258993
"1658",6024,"nav_cancel_2","Corolla",0.39,0,1.56,4,19.3,0,12.4352331606218
"1659",6024,"nav_entry_1","Corolla",0.81,0,9.72,12,69.9,0,10.3004291845494
"1660",6024,"nav_entry_2","Corolla",1.00285714285714,0,7.02,7,52.9,0,7.93950850661626
"1661",6024,"radiom_4","Corolla",1.14,0,10.26,9,15.1,0,35.7615894039735
"1662",6024,"radiom_6","Corolla",1.02,0,9.18,9,14.9,0,36.241610738255
"1663",6026,"nav_entry_1","Corolla",0.933846153846154,1,48.56,52,153.49,1.92307692307692,20.3270571372728
"1664",6026,"nav_entry_2","Corolla",0.9555,1,38.22,40,119.31,2.5,20.1156650741765
"1665",6026,"radiom_4","Corolla",0.87,0,10.44,12,18.105,0,39.7680198840099
"1666",6026,"radiom_6","Corolla",0.870454545454545,0,9.575,11,19.09,0,34.573074908329
"1667",6028,"nav_entry_1","Corolla",0.7235,0,7.235,10,53.5,0,11.214953271028
"1668",6028,"nav_entry_2","Corolla",0.787,0,3.935,5,54.71,0,5.48345823432645
"1669",6028,"radiom_4","Corolla",1.429375,2,11.435,8,16.5,25,29.0909090909091
"1670",6028,"radiom_6","Corolla",1.05142857142857,0,7.36,7,12.1,0,34.7107438016529
"1671",6029,"nav_entry_1","Corolla",0.681666666666667,0,4.09,6,56.5,0,6.3716814159292
"1672",6029,"nav_entry_2","Corolla",0.6053125,0,9.685,16,154.895,0,6.19774686077665
"1673",6029,"radiom_4","Corolla",0.667222222222222,0,6.005,9,23.71,0,22.7752003374104
"1674",6029,"radiom_6","Corolla",0.640357142857143,0,8.965,14,34.71,0,24.2005185825411
"1675",6030,"nav_cancel_1","Corolla",0.69,0,2.07,3,35.1,0,5.12820512820513
"1676",6030,"nav_cancel_2","Corolla",0.805,0,0.805,1,16.5,0,3.63636363636364
"1677",6030,"nav_entry_1","Corolla",0.903823529411765,0,30.73,34,235.7,0,8.65507000424268
"1678",6030,"nav_entry_2","Corolla",0.71,0,7.1,10,49.7,0,12.0724346076459
"1679",6030,"radiom_4","Corolla",1.1346875,0,36.31,32,58.9,0,32.597623089983
"1680",6030,"radiom_6","Corolla",1.19375,0,9.55,8,16.5,0,29.0909090909091
"1681",6031,"nav_cancel_1","Corolla",0.8975,0,3.59,4,22.9,0,10.4803493449782
"1682",6031,"nav_cancel_2","Corolla",0.66,0,1.98,3,15.7,0,11.4649681528662
"1683",6031,"nav_entry_1","Corolla",1.25225806451613,4,38.82,31,107.3,12.9032258064516,17.3345759552656
"1684",6031,"nav_entry_2","Corolla",0.754,0,11.31,15,62.3,0,14.446227929374
"1685",6031,"radiom_4","Corolla",1.35192307692308,2,35.15,26,48.3,7.69230769230769,32.2981366459627
"1686",6031,"radiom_6","Corolla",1.11833333333333,0,6.71,6,9.7,0,37.1134020618557
"1687",6032,"nav_cancel_1","Corolla",0.455,0,0.91,2,14.71,0,8.15771583956492
"1688",6032,"nav_cancel_2","Corolla",0.62,0,1.24,2,13.3,0,9.02255639097744
"1689",6032,"nav_entry_1","Corolla",0.75625,0,24.2,32,82.39,0,23.3037990047336
"1690",6032,"nav_entry_2","Corolla",0.798125,0,12.77,16,48.29,0,19.8798923172499
"1691",6032,"radiom_4","Corolla",1.0935,0,10.935,10,17.5,0,34.2857142857143
"1692",6032,"radiom_6","Corolla",0.796,0,11.94,15,19.5,0,46.1538461538462
"1693",6033,"nav_cancel_1","Corolla",0.835,0,0.835,1,13.51,0,4.44115470022206
"1694",6033,"nav_cancel_2","Corolla",0.765,0,0.765,1,13.7,0,4.37956204379562
"1695",6033,"nav_entry_1","Corolla",1.04,0,1.04,1,44.3,0,1.35440180586907
"1696",6033,"nav_entry_2","Corolla",0.6625,0,5.3,8,47.7,0,10.062893081761
"1697",6033,"radiom_4","Corolla",1.018125,0,8.145,8,12.1,0,39.6694214876033
"1698",6033,"radiom_6","Corolla",1.13666666666667,0,6.82,6,12.9,0,27.906976744186
"1699",6035,"nav_cancel_1","Corolla",0.775,0,3.1,4,16.7,0,14.3712574850299
"1700",6035,"nav_cancel_2","Corolla",0.7,0,0.7,1,14.7,0,4.08163265306122
"1701",6035,"nav_entry_1","Corolla",0.803,0,8.03,10,51.5,0,11.6504854368932
"1702",6035,"nav_entry_2","Corolla",0.54,0,0.54,1,46.9,0,1.27931769722815
"1703",6035,"radiom_4","Corolla",0.747083333333333,0,8.965,12,16.7,0,43.1137724550898
"1704",6035,"radiom_6","Corolla",0.661428571428571,0,9.26,14,18.5,0,45.4054054054054
"1705",6036,"nav_cancel_1","Corolla",0.526666666666667,0,3.16,6,11.9,0,30.2521008403361
"1706",6036,"nav_cancel_2","Corolla",0.654166666666667,0,7.85,12,34.48,0,20.8816705336427
